"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @NBATV: .@celtics are currently undefeated at TD Garden! 👀☘️

The last time they started the #NBAPlayoffs 9-0 at home, they won it all.…",FALSE,0,NA,2018-05-19 14:47:23,FALSE,NA,"997851214661521411",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Highlighter84",369,TRUE,FALSE,NA,NA
"2","RT @NBA: LeBron and Paul George exchange thrilling buckets in the 2013 Eastern Conference Finals... one of the #BudweiserLegendaryMoments o…",FALSE,0,NA,2018-05-19 14:47:13,FALSE,NA,"997851171997011968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BaviJavi",367,TRUE,FALSE,NA,NA
"3","RT @NBA: LeBron and Paul George exchange thrilling buckets in the 2013 Eastern Conference Finals... one of the #BudweiserLegendaryMoments o…",FALSE,0,NA,2018-05-19 14:46:55,FALSE,NA,"997851096281505793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thatmanderek23",367,TRUE,FALSE,NA,NA
"4","RT @NBA: LeBron and Paul George exchange thrilling buckets in the 2013 Eastern Conference Finals... one of the #BudweiserLegendaryMoments o…",FALSE,0,NA,2018-05-19 14:46:43,FALSE,NA,"997851045408788481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nappy_Scrappy",367,TRUE,FALSE,NA,NA
"5","RT @Godfatherlocks: SUPER SATURDAY SPECIAL OFFER

$40.00 FOR ALL OF OUR PICKS FROM TODAY THROUGH MEMORIAL DAY MAY 28TH!!!

#NBAPlayoffs &amp; #…",FALSE,0,NA,2018-05-19 14:46:27,FALSE,NA,"997850981797941248",NA,"<a href=""http://checkoutthisvideos.com"" rel=""nofollow"">livesportsonline</a>","SureLiveSports",1,TRUE,FALSE,NA,NA
"6","RT @NBA: LeBron and Paul George exchange thrilling buckets in the 2013 Eastern Conference Finals... one of the #BudweiserLegendaryMoments o…",FALSE,0,NA,2018-05-19 14:46:20,FALSE,NA,"997850951066284033",NA,"<a href=""http://checkoutthisvideos.com"" rel=""nofollow"">livesportsonline</a>","SureLiveSports",367,TRUE,FALSE,NA,NA
"7","明日はセルティックスvsキャブズ第3戦のためだけに予定空けたから久しぶりのフル試合観戦を楽しんでセルティックス3連勝のために応援しよ！！
Let's Go CELTICS☘
#NBA  #NBAPlayoffs
#CELTICS  #CUsRise",FALSE,0,NA,2018-05-19 14:46:12,FALSE,NA,"997850916622553088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kitymdnba",0,FALSE,FALSE,NA,NA
"8","RT @ct_nba: 2013東カンファレンスファイナル第2戦の第3Q終盤、お互いに点を取り合い火花を散らしたレブロン&amp;PG。クォーター終了直後のタッチを含め、 NBAプレイオフの名場面ですね。

via @NBA #NBAPlayoffs
https://t.co/21t8…",FALSE,0,NA,2018-05-19 14:46:10,FALSE,NA,"997850906757664769",NA,"<a href=""http://checkoutthisvideos.com"" rel=""nofollow"">livesportsonline</a>","SureLiveSports",56,TRUE,FALSE,NA,NA
"9","RT @GeoffLRamsey: Taking @MillieSRamsey to Cleveland to watch my @celtics beat her @cavs #NBAPlayoffs #CelticsVsCavs https://t.co/uzuZPSB23X",FALSE,0,NA,2018-05-19 14:45:35,FALSE,NA,"997850762507182080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KingJaxon23",22,TRUE,FALSE,NA,NA
"10","RT @ct_nba: 2013東カンファレンスファイナル第2戦の第3Q終盤、お互いに点を取り合い火花を散らしたレブロン&amp;PG。クォーター終了直後のタッチを含め、 NBAプレイオフの名場面ですね。

via @NBA #NBAPlayoffs
https://t.co/21t8…",FALSE,0,NA,2018-05-19 14:45:35,FALSE,NA,"997850761726840832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShutaKD35",56,TRUE,FALSE,NA,NA
